State_name,District_name,Literate,Female_Literate,Male_Literate,Population,Graduate_Education,Illiterate_Education
JAMMU AND KASHMIR,Kupwara,439654,156831,282823,870354,21751,289765
JAMMU AND KASHMIR,Badgam,335649,127908,207741,753745,27950,342646
JAMMU AND KASHMIR,Leh(Ladakh),93770,30936,62834,133487,6197,32637
JAMMU AND KASHMIR,Kargil,86236,29935,56301,140802,3077,39854
JAMMU AND KASHMIR,Punch,261724,98391,163333,476835,13962,164044
JAMMU AND KASHMIR,Rajouri,364109,139640,224469,642415,18576,242306
JAMMU AND KASHMIR,Kathua,389204,160705,228499,616435,24330,181297
JAMMU AND KASHMIR,Baramula,545149,207979,337170,1008039,48285,350119
JAMMU AND KASHMIR,Bandipore,185979,68921,117058,392232,12721,163648
JAMMU AND KASHMIR,Srinagar,748584,316838,431746,1236829,121856,310225
JAMMU AND KASHMIR,Ganderbal,143276,52695,90581,297446,9633,116734
JAMMU AND KASHMIR,Pulwama,293958,115632,178326,560440,31286,190369
JAMMU AND KASHMIR,Shupiyan,136500,56145,80355,266215,10782,107053
JAMMU AND KASHMIR,Anantnag,545532,221115,324417,1078692,41570,337265
JAMMU AND KASHMIR,Kulgam,209085,84033,125052,424483,18240,175199
JAMMU AND KASHMIR,Doda,219083,80463,138620,409936,12647,163565
JAMMU AND KASHMIR,Ramban,124065,41127,82938,283713,4923,141812
JAMMU AND KASHMIR,Kishtwar,107506,38806,68700,230696,5438,101166
JAMMU AND KASHMIR,Udhampur,322354,124811,197543,554985,17345,194838
JAMMU AND KASHMIR,Reasi,150542,56605,93937,314667,4733,143293
JAMMU AND KASHMIR,Jammu,1137135,495219,641916,1529958,146501,268279
JAMMU AND KASHMIR,Samba,228139,97827,130312,318898,14055,65643
HIMACHAL PRADESH,Chamba,323842,137778,186064,519080,15506,154575
HIMACHAL PRADESH,Kangra,1152640,546197,606443,1510075,91236,271892
HIMACHAL PRADESH,Lahul AND Spiti,21845,8948,12897,31564,2378,6515
HIMACHAL PRADESH,Kullu,307672,133122,174550,437903,23168,103136
HIMACHAL PRADESH,Mandi,723747,330078,393669,999777,54139,218570
HIMACHAL PRADESH,Hamirpur,358091,177536,180555,454768,35620,72551
HIMACHAL PRADESH,Una,399715,186434,213281,521173,32120,87735
HIMACHAL PRADESH,Bilaspur,287620,132021,155599,381956,25474,65864
HIMACHAL PRADESH,Solan,428578,184206,244372,580320,36803,104084
HIMACHAL PRADESH,Sirmaur,362645,157028,205617,529855,23352,140486
HIMACHAL PRADESH,Shimla,612642,269796,342846,814010,80414,137576
HIMACHAL PRADESH,Kinnaur,60699,24002,36697,84121,5118,16944
PUNJAB,Gurdaspur,1634719,727059,907660,2298323,104345,478020
PUNJAB,Kapurthala,576567,260313,316254,815168,48221,174995
PUNJAB,Jalandhar,1622537,739956,882581,2193590,162965,387809
PUNJAB,Hoshiarpur,1199699,561772,637927,1586625,93618,294723
PUNJAB,Shahid Bhagat Singh Nagar,438459,199304,239155,612310,26893,133275
PUNJAB,Fatehgarh Sahib,426033,187337,238696,600163,34990,142314
PUNJAB,Ludhiana,2560225,1131877,1428348,3498739,272280,631980
PUNJAB,Moga,627889,279340,348549,995746,37417,306336
PUNJAB,Firozpur,1227511,520441,707070,2029074,82448,714869
PUNJAB,Muktsar,524848,224447,300401,901896,36905,340886
PUNJAB,Faridkot,381285,165518,215767,617508,29838,204895
PUNJAB,Bathinda,844868,356607,488261,1388525,70240,438529
PUNJAB,Mansa,423560,179523,244037,769751,27461,311513
PUNJAB,Patiala,1266791,555739,711052,1895686,141947,518772
PUNJAB,Amritsar,1684770,751789,932981,2490656,142399,540010
PUNJAB,Tarn Taran,666162,289735,376427,1119627,21322,381879
PUNJAB,Rupnagar,502731,224197,278534,684627,38823,124100
PUNJAB,Sahibzada Ajit Singh Nagar,736575,326631,409944,994628,105306,172226
PUNJAB,Sangrur,1002077,431664,570413,1655169,73636,570103
PUNJAB,Barnala,359831,157832,201999,595527,23657,212388
CHANDIGARH,Chandigarh,805438,340092,465346,1055450,174528,184265
UTTARAKHAND,Uttarkashi,215126,86889,128237,330086,18882,83896
UTTARAKHAND,Chamoli,280556,125161,155395,391605,27168,61950
UTTARAKHAND,Rudraprayag,170933,79130,91803,242285,15096,45428
UTTARAKHAND,Tehri Garhwal,407994,180588,227406,618931,30704,133013
UTTARAKHAND,Dehradun,1259506,557290,702216,1696694,247622,296538
UTTARAKHAND,Garhwal,494889,232741,262148,687271,52076,123071
UTTARAKHAND,Pithoragarh,345550,155927,189623,483439,28375,88036
UTTARAKHAND,Bageshwar,179483,81937,97546,259898,10900,49539
UTTARAKHAND,Almora,436497,204893,231604,622506,37742,109556
UTTARAKHAND,Champawat,177726,75711,102015,259648,15110,62429
UTTARAKHAND,Nainital,696500,310721,385779,954605,89101,166573
UTTARAKHAND,Udham Singh Nagar,1037839,439314,598525,1648902,111062,438598
UTTARAKHAND,Hardwar,1178354,486943,691411,1890422,134182,580970
HARYANA,Panchkula,405318,175456,229862,561293,83256,119222
HARYANA,Ambala,818025,356737,461288,1128350,91472,222031
HARYANA,Yamunanagar,832457,357664,474793,1214205,82532,319428
HARYANA,Kurukshetra,646893,276065,370828,964655,71007,266638
HARYANA,Kaithal,646529,260747,385782,1074304,51043,369869
HARYANA,Karnal,978013,413497,564516,1505324,101387,429220
HARYANA,Panipat,786599,322463,464136,1205437,75774,296212
HARYANA,Sonipat,998316,408435,589881,1450001,101186,344813
HARYANA,Jind,832758,330709,502049,1334152,64599,419624
HARYANA,Fatehabad,557578,230107,327471,942011,37741,344534
HARYANA,Sirsa,782897,325929,456968,1295189,61620,412353
HARYANA,Hisar,1114311,444111,670200,1743931,105346,505251
HARYANA,Bhiwani,1069871,426713,643158,1634445,104875,459364
HARYANA,Rohtak,747582,311557,436025,1061204,100346,248795
HARYANA,Jhajjar,676091,276611,399480,958405,58826,201028
HARYANA,Mahendragarh,630255,249815,380440,922088,60296,245602
HARYANA,Rewari,636947,261494,375453,900332,65143,206827
HARYANA,Gurgaon,1111116,472450,638666,1514432,233402,263720
HARYANA,Mewat,454897,146462,308435,1089263,12453,619284
HARYANA,Faridabad,1272739,537799,734940,1809733,259933,346567
HARYANA,Palwal,599796,220100,379696,1042708,43780,393825
NCT OF DELHI,North West,2707855,1165903,1541952,3656539,465677,416720
NCT OF DELHI,North,681517,299902,381615,887978,107099,125277
NCT OF DELHI,North East,1611588,699107,912481,2241624,122983,257966
NCT OF DELHI,East,1352998,604616,748382,1709346,246988,169693
NCT OF DELHI,New Delhi,114179,48501,65678,142004,23934,10098
NCT OF DELHI,Central,442360,201842,240518,582320,80251,87286
NCT OF DELHI,West,1961179,867246,1093933,2543243,440295,308139
NCT OF DELHI,South West,1787689,762428,1025261,2292958,400800,278832
NCT OF DELHI,South,2078402,893366,1185036,2731929,458858,328287
RAJASTHAN,Ganganagar,1193343,482435,710908,1969168,104071,710223
RAJASTHAN,Hanumangarh,1034136,409855,624281,1774692,84185,723454
RAJASTHAN,Bikaner,1278801,496402,782399,2363937,101714,1015331
RAJASTHAN,Churu,1149269,452540,696729,2039547,77282,910226
RAJASTHAN,Jhunjhunun,1370360,554526,815834,2137045,158936,712584
RAJASTHAN,Alwar,2182476,822647,1359829,3674179,222622,1384905
RAJASTHAN,Bharatpur,1480869,536959,943910,2548462,132571,1104824
RAJASTHAN,Dhaulpur,683098,247377,435721,1206516,37856,552106
RAJASTHAN,Karauli,805849,273945,531904,1458248,67639,668926
RAJASTHAN,Sawai Madhopur,741748,255564,486184,1335551,70870,586492
RAJASTHAN,Dausa,938051,341116,596935,1634409,90833,681980
RAJASTHAN,Jaipur,4300965,1746172,2554793,6626178,703673,2046038
RAJASTHAN,Sikar,1652117,656842,995275,2677333,181282,967497
RAJASTHAN,Nagaur,1758624,655874,1102750,3307743,117444,1533137
RAJASTHAN,Jodhpur,2031532,765779,1265753,3687165,177199,1591957
RAJASTHAN,Jaisalmer,308653,98238,210415,669919,10604,397649
RAJASTHAN,Barmer,1188322,404861,783461,2603751,39533,1501858
RAJASTHAN,Jalor,829582,285659,543923,1828730,25210,1033534
RAJASTHAN,Sirohi,476806,166906,309900,1036346,27076,577092
RAJASTHAN,Pali,1085693,418312,667381,2037573,67021,983050
RAJASTHAN,Ajmer,1526673,600405,926268,2583052,172683,1034334
RAJASTHAN,Tonk,749659,271330,478329,1421326,67155,661902
RAJASTHAN,Bundi,585044,213339,371705,1110906,41052,553622
RAJASTHAN,Bhilwara,1256126,478544,777582,2408523,106667,1180456
RAJASTHAN,Rajsamand,619139,235805,383334,1156597,34286,544517
RAJASTHAN,Dungarpur,681591,265771,415820,1388552,39312,764563
RAJASTHAN,Banswara,829343,315489,513854,1797485,47094,1040914
RAJASTHAN,Chittaurgarh,821825,306974,514851,1544338,67155,715545
RAJASTHAN,Kota,1298345,532949,765396,1951014,167778,588142
RAJASTHAN,Baran,693307,260700,432607,1222755,49939,545842
RAJASTHAN,Jhalawar,739792,272977,466815,1411129,47985,696680
RAJASTHAN,Udaipur,1582629,609185,973444,3068420,142672,1528671
RAJASTHAN,Pratapgarh,401515,151393,250122,867848,19109,488621
UTTAR PRADESH,Saharanpur,2077108,856994,1220114,3466382,154153,1279517
UTTAR PRADESH,Muzaffarnagar,2417339,968811,1448528,4143512,98691,1431537
UTTAR PRADESH,Bijnor,2135393,893922,1241471,3682713,148185,1308683
UTTAR PRADESH,Moradabad,2263848,906413,1357435,4772006,186489,2097292
UTTAR PRADESH,Rampur,1043666,413258,630408,2335819,43839,1235413
UTTAR PRADESH,Jyotiba Phule Nagar,983110,382569,600541,1840221,69522,520215
UTTAR PRADESH,Meerut,2141488,886968,1254520,3443689,275076,990312
UTTAR PRADESH,Baghpat,797970,308112,489858,1303048,44164,376700
UTTAR PRADESH,Ghaziabad,3123264,1311867,1811397,4681645,255949,885070
UTTAR PRADESH,Gautam Buddha Nagar,1122947,456882,666065,1648115,101645,342284
UTTAR PRADESH,Bulandshahr,2031656,778342,1253314,3499171,151182,1185318
UTTAR PRADESH,Aligarh,2092567,809187,1283380,3673889,172585,1352181
UTTAR PRADESH,Mahamaya Nagar,942572,363415,579157,1564708,49812,430814
UTTAR PRADESH,Mathura,1507746,564400,943346,2547184,103102,691359
UTTAR PRADESH,Agra,2680510,1065916,1614594,4418797,199395,963202
UTTAR PRADESH,Firozabad,1521806,609492,912314,2498156,108627,672115
UTTAR PRADESH,Mainpuri,1203885,491775,712110,1868529,111696,519493
UTTAR PRADESH,Budaun,1547477,560976,986501,3681896,64222,1946345
UTTAR PRADESH,Bareilly,2191759,849062,1342697,4448359,146446,1744527
UTTAR PRADESH,Pilibhit,1061095,406805,654290,2031007,66129,977839
UTTAR PRADESH,Shahjahanpur,1490930,575788,915142,3006538,87355,1324615
UTTAR PRADESH,Kheri,2034044,796887,1237157,4021243,128548,1833578
UTTAR PRADESH,Sitapur,2283733,886031,1397702,4483992,127750,2141696
UTTAR PRADESH,Hardoi,2221601,847014,1374587,4092845,103523,1481604
UTTAR PRADESH,Unnao,1773584,720521,1053063,3108367,101934,1130103
UTTAR PRADESH,Lucknow,3127260,1384820,1742440,4589838,639260,1146880
UTTAR PRADESH,Rae Bareli,1965843,799878,1165965,3405559,153041,1286726
UTTAR PRADESH,Farrukhabad,1092677,437850,654827,1885204,110391,710960
UTTAR PRADESH,Kannauj,1017087,413491,603596,1656616,95072,543034
UTTAR PRADESH,Etawah,1062003,438420,623583,1581810,118571,397708
UTTAR PRADESH,Auraiya,930836,384638,546198,1379545,79012,276224
UTTAR PRADESH,Kanpur Dehat,1170243,477279,692964,1796184,97740,475166
UTTAR PRADESH,Kanpur Nagar,3243022,1413843,1829179,4581268,396565,676306
UTTAR PRADESH,Jalaun,1075196,421766,653430,1689974,106888,461666
UTTAR PRADESH,Jhansi,1304513,520808,783705,1998603,92586,483088
UTTAR PRADESH,Lalitpur,641191,243605,397586,1221592,34658,509536
UTTAR PRADESH,Hamirpur,653299,245174,408125,1104285,59612,364848
UTTAR PRADESH,Mahoba,488106,185823,302283,875958,37165,403649
UTTAR PRADESH,Banda,1002937,372311,630626,1799410,63112,588025
UTTAR PRADESH,Chitrakoot,531072,200733,330339,991730,35826,383908
UTTAR PRADESH,Fatehpur,1512166,601163,911003,2632733,116445,895178
UTTAR PRADESH,Pratapgarh,1931559,810178,1121381,3209141,197846,1059636
UTTAR PRADESH,Kaushambi,813424,306145,507279,1599596,45341,670750
UTTAR PRADESH,Allahabad,3665727,1466387,2199340,5954391,428871,1756098
UTTAR PRADESH,Bara Banki,1692458,681940,1010518,3260699,113799,1540841
UTTAR PRADESH,Faizabad,1450901,612562,838339,2470996,179996,981915
UTTAR PRADESH,Ambedkar Nagar,1486939,640263,846676,2397888,194387,813502
UTTAR PRADESH,Sultanpur,2239902,939654,1300248,3797117,176414,1118891
UTTAR PRADESH,Bahraich,1398368,520083,878285,3487731,47690,1920966
UTTAR PRADESH,Shrawasti,423313,146613,276700,1117361,15648,701550
UTTAR PRADESH,Balrampur,868357,323414,544943,2148665,37109,1332817
UTTAR PRADESH,Gonda,1679994,645813,1034181,3433919,118176,1620782
UTTAR PRADESH,Siddharthnagar,1228926,488208,740718,2559297,56516,1217027
UTTAR PRADESH,Basti,1393783,574064,819719,2464464,143642,1021192
UTTAR PRADESH,Sant Kabir Nagar,954949,387851,567098,1715183,63506,683053
UTTAR PRADESH,Mahrajganj,1419144,537470,881674,2684703,95863,1252595
UTTAR PRADESH,Gorakhpur,2700328,1106438,1593890,4440895,273903,1453960
UTTAR PRADESH,Kushinagar,1954820,771098,1183722,3564544,119625,1550315
UTTAR PRADESH,Deoria,1875239,795951,1079288,3100946,194341,1130108
UTTAR PRADESH,Azamgarh,2771917,1212503,1559414,4613913,158303,1218146
UTTAR PRADESH,Mau,1363044,589962,773082,2205968,150462,659237
UTTAR PRADESH,Ballia,1963590,802630,1160960,3239774,200434,1032533
UTTAR PRADESH,Jaunpur,2731677,1166283,1565394,4494204,256398,1344789
UTTAR PRADESH,Ghazipur,2197549,903996,1293553,3620268,186306,1008996
UTTAR PRADESH,Chandauli,1174606,475152,699454,1952756,88299,543247
UTTAR PRADESH,Varanasi,2403903,1014787,1389116,3676841,281652,906367
UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),910146,363364,546782,1578213,86533,552958
UTTAR PRADESH,Mirzapur,1428683,562846,865837,2496970,140668,868542
UTTAR PRADESH,Sonbhadra,985708,383720,601988,1862559,63846,745126
UTTAR PRADESH,Etah,1055202,408160,647042,1774480,88607,718310
UTTAR PRADESH,Kanshiram Nagar,724850,272047,452803,1436719,48079,648166
BIHAR,Pashchim Champaran,1759481,668255,1091226,3935042,70669,1710878
BIHAR,Purba Champaran,2276957,869354,1407603,5099371,68781,2142757
BIHAR,Sheohar,283698,112053,171645,656246,10091,348078
BIHAR,Sitamarhi,1436794,551606,885188,3423574,70549,1852765
BIHAR,Madhubani,2155338,815253,1340085,4487379,137780,2003079
BIHAR,Supaul,1033283,385611,647672,2229076,45726,1220268
BIHAR,Araria,1195768,468125,727643,2811569,39627,1653766
BIHAR,Kishanganj,745056,305135,439921,1690400,15386,945397
BIHAR,Purnia,1332326,527065,805261,3264619,59996,1798786
BIHAR,Katihar,1280190,517934,762256,3071029,57114,1705551
BIHAR,Madhepura,834577,316911,517666,2001762,44955,1202278
BIHAR,Saharsa,804996,298622,506374,1900661,47051,1151349
BIHAR,Darbhanga,1816634,691068,1125566,3937385,129597,2203198
BIHAR,Muzaffarpur,2509232,1022115,1487117,4801062,138916,1924438
BIHAR,Gopalganj,1382998,589093,793905,2562012,79109,977719
BIHAR,Siwan,1930175,814269,1115906,3330464,119164,1207119
BIHAR,Saran,2157454,871687,1285767,3951862,148065,1313700
BIHAR,Vaishali,1926740,774164,1152576,3495021,124448,1479152
BIHAR,Samastipur,2142880,849305,1293575,4261566,129933,1996651
BIHAR,Begusarai,1548673,630166,918507,2970541,101836,1242551
BIHAR,Khagaria,768028,306875,461153,1666886,38697,903323
BIHAR,Bhagalpur,1573066,635397,937669,3037766,118843,1139715
BIHAR,Banka,965321,374360,590961,2034763,35767,879831
BIHAR,Munger,801817,328076,473741,1367765,64469,498676
BIHAR,Lakhisarai,507270,202088,305182,1000912,27261,450967
BIHAR,Sheikhpura,328676,132245,196431,636342,19676,305609
BIHAR,Nalanda,1519933,600375,919558,2877653,133032,1324385
BIHAR,Patna,3459679,1431632,2028047,5838465,452340,2590473
BIHAR,Bhojpur,1599151,625665,973486,2728407,131137,1005140
BIHAR,Buxar,989807,396263,593544,1706352,64117,457814
BIHAR,Kaimur (Bhabua),920276,370353,549923,1626384,70169,551317
BIHAR,Rohtas,1799832,738049,1061783,2959918,161555,876443
BIHAR,Aurangabad,1466002,597269,868733,2540073,91371,784131
BIHAR,Gaya,2297613,928810,1368803,4391418,131163,1953368
BIHAR,Nawada,1091012,431538,659474,2219146,64585,1091439
BIHAR,Jamui,858588,324203,534385,1760405,29633,765297
BIHAR,Jehanabad,618881,244469,374412,1125313,45519,495877
BIHAR,Arwal,386351,151072,235279,700843,27945,290095
SIKKIM,North  District,30450,11871,18579,43709,1406,7673
SIKKIM,West District,93432,41444,51988,136435,4831,28227
SIKKIM,South District,106741,47384,59357,146850,5766,24395
SIKKIM,East District,214329,92984,121345,283583,20904,38142
ARUNACHAL PRADESH,Tawang,26073,8353,17720,49977,1379,19203
ARUNACHAL PRADESH,West Kameng,48492,18926,29566,83947,2693,25606
ARUNACHAL PRADESH,East Kameng,38449,16850,21599,78690,2330,31763
ARUNACHAL PRADESH,Papum Pare,121048,55254,65794,176573,13840,30360
ARUNACHAL PRADESH,Upper Subansiri,45278,20471,24807,83448,4276,28364
ARUNACHAL PRADESH,West Siang,64746,27969,36777,112274,6030,27956
ARUNACHAL PRADESH,East Siang,62576,28366,34210,99214,6540,21543
ARUNACHAL PRADESH,Upper Siang,18195,7472,10723,35320,1349,11209
ARUNACHAL PRADESH,Changlang,73174,29147,44027,148226,3633,57290
ARUNACHAL PRADESH,Tirap,47974,18661,29313,111975,2134,50628
ARUNACHAL PRADESH,Lower Subansiri,54057,24587,29470,83030,5230,17273
ARUNACHAL PRADESH,Kurung Kumey,36606,16348,20258,92076,2031,42621
ARUNACHAL PRADESH,Dibang Valley,4436,1822,2614,8004,356,2185
ARUNACHAL PRADESH,Lower Dibang Valley,31849,13762,18087,54080,2795,14406
ARUNACHAL PRADESH,Lohit,83062,34682,48380,145726,5180,52421
ARUNACHAL PRADESH,Anjaw,9990,3467,6523,21167,502,8723
NAGALAND,Mon,119626,52194,67432,250260,1772,130529
NAGALAND,Mokokchung,159494,76015,83479,194622,10299,22555
NAGALAND,Zunheboto,102881,49377,53504,140757,5560,25988
NAGALAND,Wokha,128208,60823,67385,166343,8030,25048
NAGALAND,Dimapur,278037,127895,150142,378811,27532,58926
NAGALAND,Phek,105893,47967,57926,163418,5926,44456
NAGALAND,Tuensang,117511,53858,63653,196596,2760,66450
NAGALAND,Longleng,29859,13720,16139,50484,595,18230
NAGALAND,Kiphire,41232,18557,22675,74004,997,32120
NAGALAND,Kohima,197489,90451,107038,267988,23439,45802
NAGALAND,Peren,62204,27620,34584,95219,2169,24790
MANIPUR,Senapati,264477,116465,148012,479148,24940,191001
MANIPUR,Tamenglong,85006,37603,47403,140651,7102,45317
MANIPUR,Churachandpur,195935,91922,104013,274143,14523,57561
MANIPUR,Bishnupur,156333,69020,87313,237399,20074,67610
MANIPUR,Thoubal,269304,116687,152617,422168,28550,118088
MANIPUR,Imphal West,392626,186641,205985,517992,81876,87248
MANIPUR,Imphal East,324664,151350,173314,456113,50647,90250
MANIPUR,Ukhrul,129829,59681,70148,183998,15636,42156
MANIPUR,Chandel,90302,39249,51053,144182,8105,38191
MIZORAM,Mamit,60191,27214,32977,86364,1771,20091
MIZORAM,Kolasib,65895,31748,34147,83955,2530,14217
MIZORAM,Aizawl,340595,171048,169547,400309,31310,38248
MIZORAM,Champhai,100802,49362,51440,125745,4087,15449
MIZORAM,Serchhip,54476,26878,27598,64937,2128,5963
MIZORAM,Lunglei,121122,56607,64515,161428,5509,32451
MIZORAM,Lawngtlai,62861,26417,36444,117894,2515,54874
MIZORAM,Saiha,42233,20372,21861,56574,2204,8787
TRIPURA,West Tripura,1361354,638356,722998,1725739,85405,279053
TRIPURA,South Tripura,646810,295728,351082,876001,26870,188363
TRIPURA,Dhalai,276217,124574,151643,378230,6425,109130
TRIPURA,North Tripura,520402,244756,275646,693947,18419,156840
MEGHALAYA,West Garo Hills,358702,165264,193438,643291,10856,208900
MEGHALAYA,East Garo Hills,192147,89634,102513,317917,2484,100781
MEGHALAYA,South Garo Hills,82062,37059,45003,142334,826,44849
MEGHALAYA,West Khasi Hills,230678,113371,117307,383461,6450,133244
MEGHALAYA,Ribhoi,155859,74882,80977,258840,3911,78974
MEGHALAYA,East Khasi Hills,578030,290760,287270,825922,61639,168575
MEGHALAYA,Jaintia Hills,187527,100156,87371,395124,8039,165184
ASSAM,Kokrajhar,489305,214085,275220,887142,17287,340601
ASSAM,Dhubri,922341,410790,511551,1949258,34401,992068
ASSAM,Goalpara,563577,259275,304302,1008183,18294,375071
ASSAM,Barpeta,897058,398020,499038,1693622,46947,664161
ASSAM,Morigaon,539902,250204,289698,957423,18462,351756
ASSAM,Nagaon,1710716,788866,921850,2823768,66994,873197
ASSAM,Sonitpur,1108572,488047,620525,1924110,49901,627141
ASSAM,Lakhimpur,683486,307934,375552,1042137,44212,275677
ASSAM,Dhemaji,423028,185267,237761,686133,28006,194984
ASSAM,Tinsukia,798322,344873,453449,1327929,38152,417081
ASSAM,Dibrugarh,884531,393170,491361,1326335,59380,340744
ASSAM,Sivasagar,813505,368738,444767,1151050,53437,247114
ASSAM,Jorhat,794929,362594,432335,1092256,62608,209170
ASSAM,Golaghat,721764,325289,396475,1066888,36887,258897
ASSAM,Karbi Anglong,557214,242961,314253,956313,18225,310093
ASSAM,Dima Hasao,140873,62314,78559,214102,5565,57631
ASSAM,Cachar,1174128,534182,639946,1736617,45341,357907
ASSAM,Karimganj,795297,359355,435942,1228686,21408,303785
ASSAM,Hailakandi,407366,180530,226836,659296,11608,173306
ASSAM,Bongaigaon,434078,196964,237114,738804,20221,260721
ASSAM,Chirang,259902,114033,145869,482162,6594,172939
ASSAM,Kamrup,995319,445100,550219,1517542,55011,392678
ASSAM,Kamrup Metropolitan,1001191,463964,537227,1253938,167972,128773
ASSAM,Nalbari,531771,238587,293184,771639,39368,188960
ASSAM,Baksa,572837,250223,322614,950075,15422,294784
