State_name,District_name,Literate,Female_Literate,Male_Literate,Population,Graduate_Education,Illiterate_Education
ASSAM,Darrang,487039,218373,268666,928500,22267,375556
ASSAM,Udalguri,469926,205600,264326,831668,14001,306833
WEST BENGAL,Darjiling,1315585,597912,717673,1846823,110193,415353
WEST BENGAL,Jalpaiguri,2498780,1102158,1396622,3872846,129393,1203423
WEST BENGAL,Koch Bihar,1850504,821771,1028733,2819086,81100,873135
WEST BENGAL,Uttar Dinajpur,1489667,636172,853495,3007134,59457,1431264
WEST BENGAL,Dakshin Dinajpur,1083685,487211,596474,1676276,52345,534394
WEST BENGAL,Maldah,2086432,934413,1152019,3988845,92207,1960034
WEST BENGAL,Murshidabad,4055834,1878647,2177187,7103807,170051,3031841
WEST BENGAL,Birbhum,2158447,956966,1201481,3502404,115743,1346802
WEST BENGAL,Barddhaman,5247208,2329168,2918040,7717563,439823,2196886
WEST BENGAL,Nadia,3480555,1601689,1878866,5167600,209562,1570127
WEST BENGAL,North Twenty Four Parganas,7608693,3552647,4056046,10009781,852923,1901634
WEST BENGAL,Hugli,4078388,1866611,2211777,5519145,380060,1180806
WEST BENGAL,Bankura,2232992,933655,1299337,3596674,133465,1417787
WEST BENGAL,Puruliya,1624905,622847,1002058,2930115,77621,1272799
WEST BENGAL,Haora,3605206,1662382,1942824,4850029,304594,926661
WEST BENGAL,Kolkata,3588137,1661222,1926915,4496694,691804,410988
WEST BENGAL,South Twenty Four Parganas,5531657,2488380,3043277,8161961,322157,2184508
WEST BENGAL,Paschim Medinipur,4078412,1811499,2266913,5913457,211437,1689984
WEST BENGAL,Purba Medinipur,3923194,1774121,2149073,5095875,184225,1021541
JHARKHAND,Garhwa,653476,248315,405161,1322784,28144,557852
JHARKHAND,Chatra,510061,206159,303902,1042886,21697,467975
JHARKHAND,Kodarma,390249,151469,238780,716259,20907,297992
JHARKHAND,Giridih,1253475,469739,783736,2445474,55122,1047685
JHARKHAND,Deoghar,793538,303701,489837,1492073,43979,635544
JHARKHAND,Godda,604519,228307,376212,1313551,30870,653464
JHARKHAND,Sahibganj,483263,195960,287303,1150567,19832,637296
JHARKHAND,Pakur,352881,145892,206989,900422,9822,548434
JHARKHAND,Dhanbad,1722204,707254,1014950,2684487,107382,662522
JHARKHAND,Bokaro,1273520,514432,759088,2062330,116396,595924
JHARKHAND,Lohardaga,259707,110139,149568,461790,13847,188323
JHARKHAND,Purbi Singhbhum,1507699,651173,856526,2293919,157688,525916
JHARKHAND,Palamu,1024563,402857,621706,1939869,63595,803424
JHARKHAND,Latehar,350682,140976,209706,726978,13956,349277
JHARKHAND,Hazaribagh,1013249,417136,596113,1734495,79898,613774
JHARKHAND,Ramgarh,596497,246466,350031,949443,47207,292062
JHARKHAND,Dumka,672409,266134,406275,1321442,25593,601078
JHARKHAND,Jamtara,426312,168052,258260,791042,14802,366012
JHARKHAND,Ranchi,1911433,826189,1085244,2914253,195181,613855
JHARKHAND,Khunti,284575,119834,164741,531885,10130,177856
JHARKHAND,Gumla,559720,237925,321795,1025213,23742,322119
JHARKHAND,Simdega,343483,151492,191991,599578,13674,191341
JHARKHAND,Pashchimi Singhbhum,727561,288288,439273,1502338,10743,279016
JHARKHAND,Saraikela-Kharsawan,612993,247661,365332,1065056,29840,228943
ORISSA,Bargarh,983783,426566,557217,1481255,49238,442733
ORISSA,Jharsuguda,405879,177787,228092,579505,22010,143508
ORISSA,Sambalpur,703691,310499,393192,1041099,45828,282248
ORISSA,Debagarh,197819,85170,112649,312520,9041,108811
ORISSA,Sundargarh,1342322,592175,750147,2093437,94710,660465
ORISSA,Kendujhar,1052518,447399,605119,1801733,57762,700661
ORISSA,Mayurbhanj,1369397,575226,794171,2519738,72847,1094844
ORISSA,Baleshwar,1621232,718873,902359,2320529,105962,628627
ORISSA,Bhadrak,1094140,497871,596269,1506337,67536,323145
ORISSA,Kendrapara,1089265,509295,579970,1440361,75926,294723
ORISSA,Jagatsinghapur,889027,407978,481049,1136971,70602,209984
ORISSA,Cuttack,2011469,908436,1103033,2624470,181601,472182
ORISSA,Jajapur,1290455,584059,706396,1827192,87623,460953
ORISSA,Dhenkanal,829910,365817,464093,1192811,43064,341887
ORISSA,Anugul,869456,375031,494425,1273821,45588,347851
ORISSA,Nayagarh,688362,296029,392333,962789,33148,232558
ORISSA,Khordha,1749936,792421,957515,2251673,247498,371244
ORISSA,Puri,1291939,587082,704857,1698730,87000,309790
ORISSA,Ganjam,2210050,947398,1262652,3529031,97147,1055331
ORISSA,Gajapati,262537,108874,153663,577817,12556,335821
ORISSA,Kandhamal,399786,165886,233900,733110,14962,287948
ORISSA,Baudh,271612,112964,158648,441162,8124,146392
ORISSA,Subarnapur,398421,168028,230393,610183,16745,167244
ORISSA,Balangir,927260,381588,545672,1648997,42401,721389
ORISSA,Nuapada,299383,118480,180903,610382,10131,316086
ORISSA,Kalahandi,802036,317859,484177,1576869,27385,765368
ORISSA,Rayagada,407735,165776,241959,967911,17681,583140
ORISSA,Nabarangapur,470379,183395,286984,1220946,11198,739190
ORISSA,Koraput,568090,227247,340843,1379647,29000,770707
ORISSA,Malkangiri,244706,97705,147001,613192,5585,390356
CHHATTISGARH,Koriya,397823,167900,229923,658917,26802,179639
CHHATTISGARH,Surguja,1187941,493255,694686,2359886,64607,991866
CHHATTISGARH,Jashpur,495415,214759,280656,851669,26161,328438
CHHATTISGARH,Raigarh,951639,408883,542756,1493984,66358,460166
CHHATTISGARH,Korba,748759,315368,433391,1206640,61215,410186
CHHATTISGARH,Janjgir - Champa,1019634,425955,593679,1619707,58712,587734
CHHATTISGARH,Bilaspur,1596560,664086,932474,2663629,134637,943112
CHHATTISGARH,Kabeerdham,414167,165664,248503,822526,16671,376852
CHHATTISGARH,Rajnandgaon,1008379,447024,561355,1537133,51698,467554
CHHATTISGARH,Durg,2303378,1018766,1284612,3343872,202424,823501
CHHATTISGARH,Raipur,2629749,1136591,1493158,4063872,227382,1247434
CHHATTISGARH,Mahasamund,637963,273874,364089,1032754,33357,384764
CHHATTISGARH,Dhamtari,546833,242909,303924,799781,31319,214637
CHHATTISGARH,Uttar Bastar Kanker,456042,197744,258298,748941,21410,243039
CHHATTISGARH,Bastar,650863,268528,382335,1413199,32895,729550
CHHATTISGARH,Narayanpur,56621,23172,33449,139820,2216,78331
CHHATTISGARH,Dakshin Bastar Dantewada,191237,74708,116529,533638,11197,336963
CHHATTISGARH,Bijapur,86919,32843,54076,255230,3421,163278
MADHYA PRADESH,Sheopur,328025,119824,208201,687861,17091,393141
MADHYA PRADESH,Morena,1179685,432033,747652,1965970,71005,706917
MADHYA PRADESH,Bhind,1094917,418404,676513,1703005,50222,388473
MADHYA PRADESH,Gwalior,1357210,554096,803114,2032036,193947,554486
MADHYA PRADESH,Datia,491445,187630,303815,786754,34853,260076
MADHYA PRADESH,Shivpuri,900846,327604,573242,1726050,44812,719547
MADHYA PRADESH,Tikamgarh,747940,288587,459353,1445166,35034,659348
MADHYA PRADESH,Chhatarpur,943033,371023,572010,1762375,59704,770268
MADHYA PRADESH,Panna,552559,220419,332140,1016520,29795,427997
MADHYA PRADESH,Sagar,1545719,637112,908607,2378458,116753,711804
MADHYA PRADESH,Damoh,747715,301978,445737,1264219,41158,469038
MADHYA PRADESH,Satna,1371781,570730,801051,2228935,105499,715509
MADHYA PRADESH,Rewa,1441757,596185,845572,2365106,122371,766166
MADHYA PRADESH,Umaria,356672,145765,210907,644758,18144,230782
MADHYA PRADESH,Neemuch,508834,200945,307889,826067,42343,289113
MADHYA PRADESH,Mandsaur,834591,331693,502898,1340411,52546,467002
MADHYA PRADESH,Ratlam,825880,340790,485090,1455069,67192,622153
MADHYA PRADESH,Ujjain,1240990,510173,730817,1986864,111290,659279
MADHYA PRADESH,Shajapur,894612,351103,543509,1512681,48671,544791
MADHYA PRADESH,Dewas,925369,374653,550716,1563715,55383,565365
MADHYA PRADESH,Dhar,1077338,438859,638479,2185793,66721,1021851
MADHYA PRADESH,Indore,2309130,1019499,1289631,3276697,382658,718174
MADHYA PRADESH,Khargone (West Nimar),986234,410806,575428,1873046,64150,932619
MADHYA PRADESH,Barwani,549926,236284,313642,1385881,30754,825034
MADHYA PRADESH,Rajgarh,804245,315448,488797,1545814,51499,706958
MADHYA PRADESH,Vidisha,862918,350574,512344,1458875,59814,512311
MADHYA PRADESH,Bhopal,1660690,740376,920314,2371061,266618,462581
MADHYA PRADESH,Sehore,780362,311154,469208,1311332,50655,508396
MADHYA PRADESH,Raisen,820220,341127,479093,1331597,48384,444877
MADHYA PRADESH,Betul,939769,409986,529783,1575362,82761,603098
MADHYA PRADESH,Harda,352550,148743,203807,570465,27126,177731
MADHYA PRADESH,Hoshangabad,810644,341445,469199,1241350,84769,344492
MADHYA PRADESH,Katni,790773,330190,460583,1292042,53578,465374
MADHYA PRADESH,Jabalpur,1756468,776161,980307,2463289,235072,540029
MADHYA PRADESH,Narsimhapur,718785,305294,413491,1091854,52763,356987
MADHYA PRADESH,Dindori,378714,155955,222759,704524,15179,295655
MADHYA PRADESH,Mandla,604962,256929,348033,1054905,35476,376944
MADHYA PRADESH,Chhindwara,1294198,562904,731294,2090922,112383,663446
MADHYA PRADESH,Seoni,864194,378853,485341,1379131,55984,458811
MADHYA PRADESH,Balaghat,1147623,521155,626468,1701698,74213,493415
MADHYA PRADESH,Guna,653980,253443,400537,1241519,42147,578034
MADHYA PRADESH,Ashoknagar,469109,178805,290304,845071,22791,359525
MADHYA PRADESH,Shahdol,604194,255433,348761,1066063,46513,422736
MADHYA PRADESH,Anuppur,436595,182475,254120,749237,31646,271733
MADHYA PRADESH,Sidhi,600785,247755,353030,1127033,33067,477472
MADHYA PRADESH,Singrauli,585054,225131,359923,1178273,30597,517447
MADHYA PRADESH,Jhabua,352081,137499,214582,1025048,20240,775664
MADHYA PRADESH,Alirajpur,209754,88849,120905,728999,10040,658684
MADHYA PRADESH,Khandwa (East Nimar),731615,299356,432259,1310061,42771,551824
MADHYA PRADESH,Burhanpur,408679,175606,233073,757847,28237,317962
GUJARAT,Kachchh,1252319,513080,739239,2092371,60386,581952
GUJARAT,Banas Kantha,1704923,656521,1048402,3120506,66950,1207376
GUJARAT,Patan,837913,343282,494631,1343734,46355,452891
GUJARAT,Mahesana,1502645,655146,847499,2035064,130723,434497
GUJARAT,Sabar Kantha,1578734,660109,918625,2428589,110817,665058
GUJARAT,Gandhinagar,1030494,447808,582686,1391753,108400,246993
GUJARAT,Ahmadabad,5435760,2410297,3025463,7214225,839295,1129562
GUJARAT,Surendranagar,1093626,450405,643221,1756268,58389,493427
GUJARAT,Rajkot,2725056,1210981,1514075,3804558,266295,738660
GUJARAT,Jamnagar,1396534,601394,795140,2160119,87523,502873
GUJARAT,Porbandar,393678,172057,221621,585449,22458,137119
GUJARAT,Junagadh,1842818,795837,1046981,2743082,139957,669022
GUJARAT,Amreli,995459,437279,558180,1514190,50999,380595
GUJARAT,Bhavnagar,1887255,799884,1087371,2880365,93391,508664
GUJARAT,Anand,1551253,676772,874481,2092745,110351,360506
GUJARAT,Kheda,1660243,717763,942480,2299885,84223,482078
GUJARAT,Panch Mahals,1440805,582751,858054,2390776,71810,781582
GUJARAT,Dohad,1007171,408136,599035,2127086,41458,1047088
GUJARAT,Vadodara,2893080,1278993,1614087,4165626,314960,910219
GUJARAT,Narmada,370336,158569,211767,590297,14748,192780
GUJARAT,Bharuch,1118276,495229,623047,1551019,74380,273829
GUJARAT,The Dangs,140968,63654,77314,228291,3490,91160
GUJARAT,Navsari,1001909,462438,539471,1329672,85041,261956
GUJARAT,Valsad,1170657,515129,655528,1705678,90912,405928
GUJARAT,Surat,4571410,1883942,2687468,6081322,379505,942150
GUJARAT,Tapi,490036,221029,269007,807022,31743,292102
DAMAN AND DIU,Diu,38058,17731,20327,52074,1906,10735
DAMAN AND DIU,Daman,150348,46032,104316,191173,9128,20641
DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,223230,80709,142521,343709,19655,91055
MAHARASHTRA,Nandurbar,906509,394410,512099,1648295,58461,790613
MAHARASHTRA,Dhule,1293916,570528,723388,2050862,114931,649568
MAHARASHTRA,Jalgaon,2891882,1262659,1629223,4229917,229987,1003050
MAHARASHTRA,Buldana,1879874,830982,1048892,2586258,113783,600436
MAHARASHTRA,Akola,1411281,652304,758977,1813906,112574,352687
MAHARASHTRA,Washim,869917,382214,487703,1197160,47865,291525
MAHARASHTRA,Amravati,2251875,1044771,1207104,2888445,203273,478074
MAHARASHTRA,Wardha,1019458,466841,552617,1300774,93772,212054
MAHARASHTRA,Nagpur,3673808,1714588,1959220,4653570,493236,601547
MAHARASHTRA,Bhandara,899860,411151,488709,1200334,67061,235524
MAHARASHTRA,Gondiya,1004243,461406,542837,1322507,57923,256549
MAHARASHTRA,Gadchiroli,708365,313255,395110,1072942,35809,360229
MAHARASHTRA,Chandrapur,1578615,706050,872565,2204307,126488,516728
MAHARASHTRA,Yavatmal,2022574,906594,1115980,2772348,123074,718204
MAHARASHTRA,Nanded,2189425,934203,1255222,3361292,156225,884626
MAHARASHTRA,Hingoli,790743,340192,450551,1177345,38698,331388
MAHARASHTRA,Parbhani,1157814,491523,666291,1836086,81333,552643
MAHARASHTRA,Jalna,1195523,496095,699428,1959046,64060,545980
MAHARASHTRA,Aurangabad,2503837,1072901,1430936,3701282,253253,819734
MAHARASHTRA,Nashik,4345366,1947828,2397538,6107187,373100,1481778
MAHARASHTRA,Thane,8227161,3635765,4591396,11060148,961719,1692022
MAHARASHTRA,Mumbai Suburban,7575485,3352456,4223029,9356962,1183117,1111093
MAHARASHTRA,Mumbai,2509022,1098342,1410680,3085411,343374,262312
MAHARASHTRA,Raigarh,1939994,880302,1059692,2634200,204507,482420
MAHARASHTRA,Pune,7171723,3231513,3940210,9429408,1086650,1353077
MAHARASHTRA,Ahmadnagar,3151890,1378535,1773355,4543159,315842,1061271
MAHARASHTRA,Bid,1718507,731322,987185,2585049,129996,821607
MAHARASHTRA,Latur,1650672,718240,932432,2454196,153256,596213
MAHARASHTRA,Osmanabad,1137810,493506,644304,1657576,96847,440363
MAHARASHTRA,Solapur,2910676,1259410,1651266,4317756,236302,976795
MAHARASHTRA,Satara,2225694,1024660,1201034,3003741,243457,545423
MAHARASHTRA,Ratnagiri,1199392,580380,619012,1615069,65700,319622
MAHARASHTRA,Sindhudurg,666067,317778,348289,849651,48418,121922
MAHARASHTRA,Kolhapur,2825845,1266085,1559760,3876001,335413,778000
MAHARASHTRA,Sangli,2049467,927917,1121550,2822143,214003,579039
ANDHRA PRADESH,Adilabad,1483347,626997,856350,2741239,100226,1030640
ANDHRA PRADESH,Nizamabad,1389810,599596,790214,2551335,141850,1041862
ANDHRA PRADESH,Karimnagar,2206829,949591,1257238,3776269,256633,1280393
ANDHRA PRADESH,Medak,1637137,683731,953406,3033288,127493,1199818
ANDHRA PRADESH,Hyderabad,2892155,1349467,1542688,3943323,558090,556902
ANDHRA PRADESH,Rangareddy,3538028,1589244,1948784,5296741,740896,1158473
ANDHRA PRADESH,Mahbubnagar,1940646,782260,1158386,4053028,98227,1604319
ANDHRA PRADESH,Nalgonda,2001019,840262,1160757,3488809,196134,1294811
ANDHRA PRADESH,Warangal,2065023,885233,1179790,3512576,248942,1191252
ANDHRA PRADESH,Khammam,1630234,728594,901640,2797370,160804,875272
ANDHRA PRADESH,Srikakulam,1495381,637557,857824,2703114,121213,1009992
ANDHRA PRADESH,Vizianagaram,1238388,530885,707503,2344474,103591,1031683
ANDHRA PRADESH,Visakhapatnam,2568249,1145371,1422878,4290589,289734,1418851
ANDHRA PRADESH,East Godavari,3288577,1571644,1716933,5154296,263023,1524603
ANDHRA PRADESH,West Godavari,2652389,1273166,1379223,3936966,207586,1028767
ANDHRA PRADESH,Krishna,3009718,1410759,1598959,4517398,328454,1352499
ANDHRA PRADESH,Guntur,2960441,1325715,1634726,4887813,221924,1474349
ANDHRA PRADESH,Prakasam,1904435,796749,1107686,3397448,133627,1218310
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,1832189,820267,1011922,2963557,148394,940785
ANDHRA PRADESH,Y.S.R.,1716766,722067,994699,2882469,116330,893657
ANDHRA PRADESH,Kurnool,2127161,880792,1246369,4053463,115504,1517933
ANDHRA PRADESH,Anantapur,2310960,972486,1338474,4081148,144915,1369069
ANDHRA PRADESH,Chittoor,2667878,1183084,1484794,4174064,246409,1170993
KARNATAKA,Belgaum,3052032,1326484,1725548,4779661,201884,1346776
KARNATAKA,Bagalkot,1113412,472024,641388,1889752,82319,608843
KARNATAKA,Bijapur,1248268,517702,730566,2177331,96990,746979
KARNATAKA,Bidar,1042673,445475,597198,1703300,54900,515395
KARNATAKA,Raichur,979769,402556,577213,1928812,50463,783126
KARNATAKA,Koppal,809085,340300,468785,1389920,43967,472182
KARNATAKA,Gadag,700177,302999,397178,1064570,42053,306138
KARNATAKA,Dharwad,1301664,589888,711776,1847023,137768,428556
KARNATAKA,Uttara Kannada,1081906,499807,582099,1437169,94767,277857
KARNATAKA,Haveri,1085443,481650,603793,1597668,55310,383494
KARNATAKA,Bellary,1421621,608181,813440,2452595,89475,787762
KARNATAKA,Chitradurga,1087392,480204,607188,1659456,75262,452975
KARNATAKA,Davanagere,1308540,587903,720637,1945497,123863,467414
KARNATAKA,Shimoga,1263016,588078,674938,1752753,111753,355222
KARNATAKA,Udupi,926429,460725,465704,1177361,107279,204028
KARNATAKA,Chikmagalur,818345,380088,438257,1137961,72420,204371
KARNATAKA,Tumkur,1813391,807367,1006024,2678980,143735,686274
KARNATAKA,Bangalore,7512276,3434235,4078041,9621551,1733274,1304048
KARNATAKA,Mandya,1149649,510981,638668,1805769,102838,504734
KARNATAKA,Hassan,1225256,556420,668836,1776421,103152,401227
KARNATAKA,Dakshina Kannada,1666323,802304,864019,2089649,185916,298846
KARNATAKA,Kodagu,412877,197575,215302,554519,43225,91352
KARNATAKA,Mysore,1962180,898414,1063766,3001127,212541,747237
KARNATAKA,Chamarajanagar,565279,252322,312957,1020791,34799,401643
KARNATAKA,Gulbarga,1427368,599009,828359,2566326,104256,883704
KARNATAKA,Yadgir,510003,203252,306751,1174271,27728,579042
KARNATAKA,Kolar,1016219,452109,564110,1536401,71422,399089
KARNATAKA,Chikkaballapura,783222,341064,442158,1255104,55056,380402
KARNATAKA,Bangalore Rural,688749,303438,385311,990923,51015,205062
KARNATAKA,Ramanagara,674758,296297,378461,1082636,46318,324721
GOA,North Goa,663060,311322,351738,818008,86781,99538
GOA,South Goa,502427,238342,264085,640537,57460,88577
LAKSHADWEEP,Lakshadweep,52553,24530,28023,64473,3491,5953
KERALA,Kasaragod,1037492,521016,516476,1307375,76192,212905
KERALA,Kannur,2138434,1125478,1012956,2523003,217203,279352
KERALA,Wayanad,645585,317449,328136,817420,51111,131211
KERALA,Kozhikode,2615443,1348504,1266939,3086293,250117,335520
KERALA,Malappuram,3311315,1713911,1597404,4112920,203779,622345
KERALA,Palakkad,2239492,1116892,1122600,2809934,180540,439934
KERALA,Thrissur,2678548,1396287,1282261,3121200,338600,307665
KERALA,Ernakulam,2855676,1429953,1425723,3282388,429880,268315
KERALA,Idukki,923010,451129,471881,1108974,86136,126589
KERALA,Kottayam,1749798,888206,861592,1974551,221350,134393
KERALA,Alappuzha,1852797,962245,890552,2127789,198858,163991
KERALA,Pathanamthitta,1062553,563372,499181,1197412,123549,71053
KERALA,Kollam,2240273,1165928,1074345,2635375,233402,231286
KERALA,Thiruvananthapuram,2785408,1430551,1354857,3301427,381782,309042
TAMIL NADU,Thiruvallur,2791721,1296010,1495711,3728104,451321,610048
TAMIL NADU,Chennai,3776276,1808197,1968079,4646732,905515,419065
TAMIL NADU,Kancheepuram,3013382,1401921,1611461,3998252,526886,678374
TAMIL NADU,Vellore,2773928,1269573,1504355,3936331,308514,891430
TAMIL NADU,Tiruvannamalai,1626813,717010,909803,2464875,158041,672427
TAMIL NADU,Viluppuram,2195776,961297,1234479,3458873,229726,999902
TAMIL NADU,Salem,2285562,1000455,1285107,3482056,296399,955045
TAMIL NADU,Namakkal,1176131,522819,653312,1726601,169206,388418
TAMIL NADU,Erode,1492662,664362,828300,2251744,215514,608003
TAMIL NADU,The Nilgiris,569647,270200,299447,735394,69657,114497
TAMIL NADU,Dindigul,1481834,665654,816180,2159775,163050,480681
TAMIL NADU,Karur,727044,325318,401726,1064493,85595,276930
TAMIL NADU,Tiruchirappalli,2038981,951216,1087765,2722290,291506,401149
TAMIL NADU,Perambalur,375823,167812,208011,565223,44025,109011
TAMIL NADU,Ariyalur,480604,211022,269582,754894,57524,233438
TAMIL NADU,Cuddalore,1815281,814959,1000322,2605914,227530,634041
TAMIL NADU,Nagapattinam,1213008,572092,640916,1616450,125639,253572
TAMIL NADU,Thiruvarur,946471,443386,503085,1264277,99082,175564
TAMIL NADU,Thanjavur,1790998,846734,944264,2405890,222410,461123
TAMIL NADU,Pudukkottai,1110545,501769,608776,1618345,111731,447346
TAMIL NADU,Sivaganga,959744,433440,526304,1339101,115894,311112
TAMIL NADU,Madurai,2273430,1049620,1223810,3038252,363152,449125
TAMIL NADU,Theni,870080,390677,479403,1245899,101147,270738
TAMIL NADU,Virudhunagar,1398788,638413,760375,1942288,167506,403246
TAMIL NADU,Ramanathapuram,978946,442459,536487,1353445,97405,107292
TAMIL NADU,Thoothukkudi,1349697,646591,703106,1750176,155613,265032
TAMIL NADU,Tirunelveli,2273457,1062747,1210710,3077233,247635,621010
TAMIL NADU,Kanniyakumari,1548738,768197,780541,1870374,254107,210901
TAMIL NADU,Dharmapuri,917709,390110,527599,1506843,112592,512824
TAMIL NADU,Krishnagiri,1187958,520896,667062,1879809,137081,578724
TAMIL NADU,Coimbatore,2635907,1241117,1394790,3458045,440520,519919
TAMIL NADU,Tiruppur,1760566,800943,959623,2479052,179733,552447
PONDICHERRY,Yanam,39274,19355,19919,55626,3836,14923
PONDICHERRY,PONDICHERRY,726649,345703,380946,950289,134067,146861
PONDICHERRY,Mahe,36470,19860,16610,41816,4475,2993
PONDICHERRY,Karaikal,154916,75013,79903,200222,18998,32717
ANDAMAN AND NICOBAR ISLANDS,Nicobars,25332,9935,15397,36842,1300,9781
ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,78683,35497,43186,105597,5133,22422
ANDAMAN AND NICOBAR ISLANDS,South Andaman,190266,84472,105794,238142,22388,36289
